geoid,county,cox,moore,lashar,wallace,harding,sefcik,hogan,jealous,quinn,schlakman,write_ins,total,pct_cox,pct_hogan
24001,Allegany,13833,6390,279,143,267,0,19224,3985,166,139,33,44459,31.114060145302414,43.23983895274298
24003,Anne Arundel,73775,88375,3554,988,1268,0,157202,69399,1366,1052,775,397754,18.54789643850219,39.5224183791992
24510,Baltimore City,11387,112984,1282,1231,1443,0,58360,123609,1055,1491,422,313264,3.6349532662546604,18.62965422135962
24005,Baltimore County,80759,136462,3993,1648,2409,0,198122,122773,1633,1492,958,550249,14.676809953312045,36.00588097388637
24009,Calvert,18447,14236,504,142,242,0,29610,9216,303,130,114,72944,25.289262996271113,40.59278350515464
24011,Caroline,6727,3276,176,56,140,0,9489,1900,82,28,27,21901,30.71549244326743,43.32678873110817
24013,Carroll,38969,25155,1515,436,561,0,62445,11767,533,261,346,141988,27.445277065667522,43.97906865368905
24015,Cecil,18159,8691,472,155,311,21,27063,7354,353,154,50,62783,28.92343468773394,43.10561776277018
24017,Charles,15096,33633,408,283,414,0,31756,32100,274,193,115,114272,13.210585270232428,27.78983478017362
24019,Dorchester,6169,4341,139,69,157,0,9205,3043,72,39,27,23261,26.52078586475216,39.57267529340957
24021,Frederick,44307,51423,1700,555,722,0,72560,33355,746,499,365,206232,21.4840567904108,35.183676636021566
24023,Garrett,8195,2402,194,52,138,0,9472,1395,86,48,22,22004,37.243228503908384,43.04671877840393
24025,Harford,51930,40837,2033,618,914,0,85259,24012,756,461,392,207212,25.0612898866861,41.14578306275698
24027,Howard,33110,83690,2464,802,713,0,80574,61146,800,752,530,264581,12.514126108828677,30.453433920047168
24029,Kent,3718,4256,106,56,93,0,6370,2222,43,57,12,16933,21.957125140258665,37.618850764778834
24031,Montgomery,58701,227161,3443,2444,1677,0,180018,224029,1922,2110,1117,702622,8.354563335620007,25.620888614361636
24033,Prince George's,17937,179968,1081,1693,1984,0,89925,225889,1469,1423,593,521962,3.4364570600924975,17.22826565918592
24035,Queen Anne's,12840,8577,416,120,212,0,19503,3268,99,86,104,45225,28.391376451077942,43.124378109452735
24037,Saint Mary's,20670,14365,720,263,361,0,NA,NA,NA,NA,NA,NA,NA,NA
24039,Somerset,3974,2254,67,46,81,0,5203,2379,71,33,22,14130,28.124557678697805,36.82236376503892
24041,Talbot,7497,7989,289,70,128,0,14081,3957,79,66,51,34207,21.916566784576254,41.16408922150437
24043,Washington,27571,17006,646,257,483,0,38765,10894,491,268,118,96499,28.57128053140447,40.17140073990404
24045,Wicomico,14612,12213,388,171,358,0,22659,10426,284,141,70,61322,23.82831610188839,36.950849613515544
24047,Worcester,13433,8550,273,121,161,0,18076,5437,148,82,43,46324,28.997927640100162,39.020809947327514
